name,id,semsId,city,county,lng,lat,dateProposed,dateListed,dateCompleted,dateNOID,dateDeleted,stateName,stateCode,npl
AMCO Chemical,CA0001576081,905334,Oakland,Alameda,-122.29375,37.8025,2003-04-30,2003-09-29,,,,California,CA,listed
Fairchild Semiconductor Corp. (South San Jose Plant),CAD097012298,901685,South San Jose,Santa Clara,-121.7748,37.2326,1988-06-24,1989-10-04,1992-03-25,,,California,CA,cleaning
Lorentz Barrel & Drum Co.,CAD029295706,901287,San Jose,Santa Clara,-121.8644,37.318611,1988-06-24,1989-10-04,1998-09-29,,,California,CA,cleaning
J.H. Baxter & Co.,CAD000625731,900917,Weed,Siskiyou,-122.3707,41.4364,1988-06-24,1989-10-04,2001-09-14,,,California,CA,cleaning
Klau/Buena Vista Mine,CA1141190578,903986,Paso Robles,San Luis Obispo,-120.8967,35.6259,2004-09-23,2006-04-19,,,,California,CA,listed
Halaco Engineering Company,CAD009688052,901242,Oxnard,Ventura,-119.181944,34.138889,2007-03-07,2007-09-19,,,,California,CA,listed
"Rockets, Fireworks, and Flares (RFF)",CAN000905945,905945,Rialto,San Bernardino,-117.416567,34.153683,2008-09-03,2009-09-23,,,,California,CA,listed
New Idria Mercury Mine,CA0001900463,905346,Idria,San Benito,-120.672511,36.418392,2011-03-10,2011-09-16,,,,California,CA,listed
Blue Ledge Mine,CAN000906063,906063,Rogue River - Siskiyou National Forest,Siskiyou,-123.107442,41.959961,2011-03-10,2011-09-16,,,,California,CA,listed
Jervis B. Webb Co.,CAD008339467,904837,South Gate,Los Angeles,-118.178017,33.950325,2011-09-16,2012-05-10,,,,California,CA,listed
Southern Avenue Industrial Area,CAN000905902,905902,South Gate,Los Angeles,-118.176922,33.946178,2011-09-16,2012-05-10,,,,California,CA,listed
Argonaut Mine,CAD983650011,904596,Jackson,Amador,-120.78575,38.353333,2016-04-07,2016-09-09,,,,California,CA,listed
Orange County North Basin,CAN000900251,900251,Orange County,Orange,-117.930589,33.854828,2018-01-18,2020-09-03,,,,California,CA,listed
Copper Bluff Mine,CAD980638225,901923,Hoopa,Humboldt,-123.686,41.109972,2018-09-13,2019-05-15,,,,California,CA,listed
Afterthought Mine,CAN000908808,908808,Bella Vista,Shasta,-122.072396,40.734547,2024-03-07,2024-09-05,,,,California,CA,listed
Exide Technologies - Vernon,CAD097854541,901691,Vernon,Los Angeles,-118.193402,34.005229,2024-09-05,,,,,California,CA,proposed
California Gulch,COD980717938,801478,Leadville,Lake,-106.2692,39.236111,1982-12-30,1983-09-08,,,,Colorado,CO,listed
"Central City, Clear Creek",COD980717557,800257,Idaho Springs,Clear Creek,-105.5,39.75,1982-12-30,1983-09-08,,,,Colorado,CO,listed
Denver Radium Site,COD980716955,800247,Denver,Denver,-105,39.716669,1982-12-30,1983-09-08,2006-09-27,,,Colorado,CO,cleaning
Marshall Landfill,COD980499255,800187,Boulder County,Boulder,-105.2,39.95,1982-12-30,1983-09-08,1993-08-25,,,Colorado,CO,cleaning
Sand Creek Industrial,COD980717953,800260,Commerce City,Adams,-104.9361,39.791669,1982-12-30,1983-09-08,1994-09-29,1996-08-28,1996-12-20,Colorado,CO,completed
Woodbury Chemical Co.,COD980667075,800244,Commerce City,Adams,-104.9424,39.795,1982-12-30,1983-09-08,1992-03-26,1992-12-29,1993-03-22,Colorado,CO,completed
Broderick Wood Products,COD000110254,800030,Denver,Adams,-104.9989,39.8148,1983-09-08,1984-09-21,1996-09-30,,,Colorado,CO,cleaning
Lincoln Park,COD042167858,800115,Canon City,Fremont,-105.2333,38.4,1983-09-08,1984-09-21,,,,Colorado,CO,listed
Lowry Landfill,COD980499248,800186,Arapahoe County,Arapahoe,-104.7083,39.643331,1983-09-08,1984-09-21,2006-09-28,,,Colorado,CO,cleaning
Eagle Mine,COD081961518,800159,"Minturn, Redcliff",Eagle,-106.3917,39.533331,1984-10-15,1986-06-10,2001-09-17,,,Colorado,CO,cleaning
Smuggler Mountain,COD980806277,800261,Pitkin County,Pitkin,-106.8107,39.191669,1984-10-15,1986-06-10,1996-09-26,1999-08-09,1999-09-23,Colorado,CO,completed
Uravan Uranium Project (Union Carbide Corp.),COD007063274,800076,Uravan,Montrose,-108.7483,38.366661,1984-10-15,1986-06-10,2008-09-29,,,Colorado,CO,cleaning
Rocky Flats Plant (USDOE),CO7890010526,800360,Golden,Jefferson,-105.2017,39.894169,1984-10-15,1989-10-04,2006-09-29,,,Colorado,CO,cleaning
Rocky Mountain Arsenal (USARMY),CO5210020769,800357,Adams County,Adams,-104.8842,39.835561,1984-10-15,1987-07-22,,,,Colorado,CO,listed
Chemical Sales Co.,COD007431620,800866,Denver,Denver,-104.9136,39.780831,1988-06-24,1990-08-30,2000-03-27,,,Colorado,CO,cleaning
Air Force Plant PJKS,CO7570090038,800359,Waterton,Jefferson,-105.1337,39.514219,1989-07-14,1989-11-21,2014-02-24,,,Colorado,CO,cleaning
Smeltertown Site,COD983769738,801085,Salida,Chaffee,-106.026944,38.551944,1992-02-07,,,,,Colorado,CO,proposed
Summitville Mine,COD983778432,801194,Rio Grande County,Rio Grande,-106.585,37.43,1993-05-10,1994-05-31,2013-09-30,,,Colorado,CO,cleaning
Vasquez Boulevard and I-70,CO0002259588,801646,Denver,Denver,-104.958333,39.791667,1999-01-19,1999-07-22,,,,Colorado,CO,listed
Captain Jack Mill,COD981551427,800892,Ward,Boulder,-105.503611,40.055833,2003-04-30,2003-09-29,,,,Colorado,CO,listed
Standard Mine,CO0002378230,801669,Gunnison National Forest,Gunnison,-107.07389,38.879167,2005-04-27,2005-09-14,,,,Colorado,CO,listed
Nelson Tunnel/Commodore Waste Rock,CON000802630,802630,Creede,Mineral,-106.94,37.870833,2008-03-19,2008-09-03,,,,Colorado,CO,listed
Colorado Smelter,CON000802700,802700,Pueblo,Pueblo,-104.608,38.2491,2014-05-12,2014-12-11,,,,Colorado,CO,listed
Bonita Peak Mining District,CON000802497,802497,San Juan County,San Juan,-107.616619,37.904031,2016-04-07,2016-09-09,,,,Colorado,CO,listed
Beacon Heights Landfill,CTD072122062,100180,Beacon Falls,New Haven,-73.035281,41.43195,1982-12-30,1983-09-08,1998-09-09,,,Connecticut,CT,cleaning
"Laurel Park, Inc.",CTD980521165,100232,Naugatuck Borough,New Haven,-73.071661,41.476939,1982-12-30,1983-09-08,1998-09-11,,,Connecticut,CT,cleaning
Solvents Recovery Service of New England,CTD009717604,100124,Southington,Hartford,-72.878,41.6196,1982-12-30,1983-09-08,2018-09-04,,,Connecticut,CT,cleaning
Yaworski Waste Lagoon,CTD009774969,100125,Canterbury,Windham,-71.964161,41.66945,1982-12-30,1983-09-08,2000-09-20,,,Connecticut,CT,cleaning
Alaska Battery Enterprises,AKD004904215,1000017,Fairbanks North Star Borough,Fairbanks North Star,-147.7038,64.8203,1988-06-24,1989-03-31,1993-03-02,1996-05-13,1996-07-26,Alaska,AK,completed
Fort Wainwright,AK6210022426,1001146,Fairbanks North Star Borough,Fairbanks North Star,-147.6106,64.823,1989-07-14,1990-08-30,2002-09-27,,,Alaska,AK,cleaning
Elmendorf Air Force Base,AK8570028649,1000155,Greater Anchorage Borough,Anchorage,-149.7917,61.254169,1989-07-14,1990-08-30,,,,Alaska,AK,listed
Standard Steel & Metal Salvage Yard (USDOT),AKD980978787,1000073,Anchorage,Anchorage,-149.8324,61.2279,1989-07-14,1990-08-30,1999-09-16,2002-08-14,2002-09-30,Alaska,AK,completed
Eielson Air Force Base,AK1570028646,1000110,Fairbanks North Star Borough,Fairbanks North Star,-147.0492,64.67145,1989-07-14,1989-11-21,1998-09-30,,,Alaska,AK,cleaning
Arctic Surplus,AKD980988158,1000082,Fairbanks,Fairbanks North Star,-147.5643,64.8122,1989-10-26,1990-08-30,2005-04-18,2006-07-27,2006-09-25,Alaska,AK,completed
Adak Naval Air Station,AK4170024323,1000128,Adak,Aleutians West,-176.6525,51.8775,1992-10-14,1994-05-31,,,,Alaska,AK,listed
Fort Richardson (USARMY),AK6214522157,1001455,Anchorage,Anchorage,-149.7,61.258333,1993-06-23,1994-05-31,2006-09-28,,,Alaska,AK,cleaning
Salt Chuck Mine,AK0001897602,1001984,Thorne Bay,Outer Ketchikan,-132.558853,55.626442,2009-09-23,2010-03-04,,,,Alaska,AK,listed
Mowbray Engineering Co.,ALD031618069,404343,Greenville,Butler,-86.61305,31.831669,1982-12-30,1983-09-08,1991-09-16,1993-08-26,1993-12-30,Alabama,AL,completed
Perdido Ground Water Contamination,ALD980728703,404345,Perdido,Baldwin,-87.625,31.0125,1982-12-30,1983-09-08,1993-07-30,2017-03-17,2017-05-16,Alabama,AL,completed
Triana/Tennessee River,ALD983166299,405546,"Limestone, Morgan","Limestone, Madison, Morgan",-86.638194,34.508888,1982-12-30,1983-09-08,1991-12-18,,,Alabama,AL,cleaning
Ciba-Geigy Corp. (McIntosh Plant),ALD001221902,400073,McIntosh,Washington,-87.9955,31.279,1983-09-08,1984-09-21,2000-07-19,,,Alabama,AL,cleaning
Olin Corp. (McIntosh Plant),ALD008188708,400153,McIntosh,Washington,-87.99445,31.263889,1983-09-08,1984-09-21,,,,Alabama,AL,listed
Stauffer Chemical Co. (LeMoyne Plant),ALD008161176,400144,Axis,Mobile,-88.0175,30.969439,1983-09-08,1984-09-21,,,,Alabama,AL,listed
Stauffer Chemical Co. (Cold Creek Plant),ALD095688875,400306,Bucks,Mobile,-88.021389,30.975,1983-09-08,1984-09-21,,,,Alabama,AL,listed
Alabama Army Ammunition Plant,AL6210020008,400449,Childersburg,Talladega,-86.3268,33.3381,1984-10-15,1987-07-22,,,,Alabama,AL,listed
Interstate Lead Co. (ILCO),ALD041906173,404344,Leeds,Jefferson,-86.633333,33.688889,1985-09-18,1986-06-10,2014-09-30,,,Alabama,AL,cleaning
"Redwing Carriers, Inc. (Saraland)",ALD980844385,400417,Saraland,Mobile,-88.073061,30.808331,1988-06-24,1990-02-21,2009-09-03,2015-08-14,2015-09-28,Alabama,AL,completed
T.H. Agriculture & Nutrition Co. (Montgomery Plant),ALD007454085,404285,Montgomery,Montgomery,-86.3791,32.3761,1988-06-24,1990-08-30,2002-09-27,,,Alabama,AL,cleaning
Redstone Arsenal (USARMY/NASA),AL7210020742,405545,Huntsville,Madison,-86.673055,34.646944,1993-06-23,1994-05-31,,,,Alabama,AL,listed
American Brass,ALD981868466,406299,Headland,Henry,-85.404167,31.325,1999-01-19,1999-05-10,2009-09-01,,,Alabama,AL,cleaning
"Alabama Plating Company, Inc.",ALD004022448,400129,Vincent,Shelby,-86.405,33.399722,2000-08-24,2012-09-18,2018-06-21,,,Alabama,AL,cleaning
Anniston Army Depot (Southeast Industrial Area),AL3210020027,400443,Anniston,Calhoun,-85.969439,33.659439,1987-07-22,1989-03-13,,,,Alabama,AL,listed
35th Avenue,ALN000410750,410750,Birmingham,Jefferson,-86.799671,33.557464,2014-09-22,,,,,Alabama,AL,proposed
Cecil Lindsey,ARD980496186,600151,Newport,Jackson,-91.2255,35.6349,1982-12-30,1983-09-08,1989-03-16,1989-03-28,1989-09-22,Arkansas,AR,completed
Gurley Pit,ARD035662469,600077,Edmondson,Crittenden,-90.3116,35.1209,1982-12-30,1983-09-08,1994-09-13,2003-07-28,2003-11-06,Arkansas,AR,completed
Industrial Waste Control,ARD980496368,600163,Ft. Smith,Sebastian,-94.3525,35.2402,1982-12-30,1983-09-08,1992-06-10,2008-02-05,2008-04-07,Arkansas,AR,completed
Mid-South Wood Products,ARD092916188,600136,Mena,Polk,-94.2566,34.5697,1982-12-30,1983-09-08,1989-09-28,,,Arkansas,AR,cleaning
Midland Products,ARD980745665,600216,"Birta, Ola",Yell,-93.203889,35.025,1984-10-15,1986-06-10,1993-12-21,,,Arkansas,AR,cleaning
"Vertac, Inc.",ARD000023440,600023,Jacksonville,Pulaski,-92.1312,34.878,1982-12-30,1983-09-08,1998-08-31,,,Arkansas,AR,cleaning
"Arkwood, Inc.",ARD084930148,600124,Omaha,Boone,-93.1964,36.445,1985-09-18,1989-03-31,1996-06-28,,,Arkansas,AR,cleaning
Jacksonville Municipal Landfill,ARD980809941,600236,Jacksonville,Lonoke,-92.071661,34.863331,1987-01-22,1987-07-22,1995-09-25,1999-11-09,2000-03-14,Arkansas,AR,completed
Rogers Road Municipal Landfill,ARD981055809,600269,Jacksonville,Pulaski,-92.0778,34.8627,1987-01-22,1987-07-22,1995-09-25,2010-08-12,2010-10-12,Arkansas,AR,completed
Monroe Auto Equipment Co. (Paragould Pit),ARD980864110,600246,Paragould,Greene,-90.575,36.020831,1989-10-26,1990-08-30,2001-09-19,2014-08-14,2014-09-29,Arkansas,AR,completed
Frit Industries,ARD059636456,600106,Walnut Ridge,Lawrence,-90.941669,36.105,1982-12-30,1983-09-08,,1997-07-25,1997-10-14,Arkansas,AR,completed
South 8th Street Landfill,ARD980496723,600184,West Memphis,Crittenden,-90.169444,35.124444,1992-02-07,1992-10-14,2000-09-19,2004-07-30,2004-09-28,Arkansas,AR,completed
"Popile, Inc.",ARD008052508,603790,El Dorado,Union,-92.673333,33.1825,1992-02-07,1992-10-14,2001-09-28,,,Arkansas,AR,cleaning
Mountain Pine Pressure Treating,ARD049658628,603651,Plainview,Yell,-93.302222,34.984167,1999-04-23,1999-07-22,2005-09-28,,,Arkansas,AR,cleaning
Ouachita Nevada Wood Treater,ARD042755231,604486,Reader,Ouachita,-93.104258,33.759453,2000-02-04,2000-05-11,2006-09-21,,,Arkansas,AR,cleaning
Cedar Chemical Corporation,ARD990660649,600295,West Helena,Phillips,-90.6517,34.5206,2012-03-15,2012-09-18,,,,Arkansas,AR,listed
MacMillan Ring Free Oil,ARD008049207,600064,Norphlet,Union,-92.65688,33.30836,2013-12-12,2014-05-12,,,,Arkansas,AR,listed
Taputimu Farm,ASD980637656,900467,Taputimu,Tutuila,-170.772,-14.3601,1982-12-30,1983-09-08,1986-03-07,1985-12-31,1986-03-07,American Samoa,AS,completed
Indian Bend Wash Area,AZD980695969,900673,Scottsdale,Maricopa,-111.9083,33.466669,1982-12-30,1983-09-08,2006-09-28,,,Arizona,AZ,cleaning
Phoenix-Goodyear Airport Area,AZD980695902,900672,"Avondale, Goodyear",Maricopa,-112.3653,33.429719,1982-12-30,1983-09-08,,,,Arizona,AZ,listed
Mountain View Mobile Home Estates,AZD980735724,900679,Globe,Gila,-110.7332,33.3728,1982-12-30,1983-09-08,1988-04-18,1987-09-03,1988-04-18,Arizona,AZ,completed
Tucson International Airport Area,AZD980737530,900684,Tucson,Pima,-110.9333,32.105561,1982-12-30,1983-09-08,,,,Arizona,AZ,listed
Nineteenth Avenue Landfill,AZD980496780,900648,Phoenix,Maricopa,-112.0917,33.416669,1982-12-30,1983-09-08,1998-02-17,2006-08-14,2006-09-25,Arizona,AZ,completed
Hassayampa Landfill,AZD980735666,900677,Hassayampa,Maricopa,-112.7483,33.368331,1986-06-10,1987-07-22,1997-09-30,,,Arizona,AZ,cleaning
Luke Air Force Base,AZ0570024133,900884,Glendale,Maricopa,-112.3567,33.54,1989-07-14,1990-08-30,2000-09-25,2002-02-19,2002-04-22,Arizona,AZ,completed
Yuma Marine Corps Air Station,AZ0971590062,900885,Yuma,Yuma,-114.5888,32.654581,1988-06-24,1990-02-21,2000-09-20,,,Arizona,AZ,cleaning
Williams Air Force Base,AZ7570028582,900890,Chandler,Maricopa,-111.6519,33.30695,1989-07-14,1989-11-21,,,,Arizona,AZ,listed
"Motorola, Inc. (52nd Street Plant)",AZD009004177,900517,Phoenix,Maricopa,-111.9708,33.461669,1988-06-24,1989-10-04,,,,Arizona,AZ,listed
Apache Powder Co.,AZD008399263,900510,St. David,Cochise,-110.24,31.88,1988-06-24,1990-08-30,2008-09-26,,,Arizona,AZ,cleaning
Iron King Mine - Humboldt Smelter,AZ0000309013,905049,Dewey-Humboldt,Yavapai,-112.25,34.5,2008-03-19,2008-09-03,,,,Arizona,AZ,listed
Lukachukai Mountains Mining District,NNN000920223,920223,"Cove, Navajo Nation",Apache,-109.21772,36.558335,2023-03-29,2024-03-07,,,,Arizona,AZ,listed
Aerojet General Corp.,CAD980358832,901718,Rancho Cordova,Sacramento,-121.2,38.608331,1982-12-30,1983-09-08,,,,California,CA,listed
Celtor Chemical Works,CAD980638860,901938,Hoopa,Humboldt,-123.6911,41.1027,1982-12-30,1983-09-08,1989-09-29,2003-08-18,2003-09-30,California,CA,completed
Coast Wood Preserving,CAD063015887,901489,Ukiah,Mendocino,-123.193,39.1125,1982-12-30,1983-09-08,2020-08-06,,,California,CA,cleaning
Iron Mountain Mine,CAD980498612,901755,Redding,Shasta,-122.5278,40.671669,1982-12-30,1983-09-08,,,,California,CA,listed
Jibboom Junkyard,CAD980737613,902040,Sacramento,Sacramento,-121.5033,38.591669,1982-12-30,1983-09-08,1988-03-31,1989-05-24,1991-09-10,California,CA,completed
Liquid Gold Oil Corp.,CAT000646208,902660,Richmond,Contra Costa,-122.325,37.908333,1982-12-30,1983-09-08,1995-09-27,1996-04-12,1996-09-11,California,CA,completed
McColl,CAD980498695,901757,Fullerton,Orange,-117.9712,33.8953,1982-12-30,1983-09-08,1998-06-30,1998-07-30,,California,CA,cleaned
MGM Brakes,CAD000074120,900899,Cloverdale,Sonoma,-123.0109,38.784,1982-12-30,1983-09-08,1994-09-09,2019-06-18,2019-09-16,California,CA,completed
"Purity Oil Sales, Inc.",CAD980736151,902019,Malaga,Fresno,-119.7467,36.6874,1982-12-30,1983-09-08,2012-09-28,,,California,CA,cleaning
Selma Treating Co.,CAD029452141,901290,Selma,Fresno,-119.6017,36.556669,1982-12-30,1983-09-08,2005-01-26,,,California,CA,cleaning
Stringfellow,CAT080012826,902680,Glen Avon Heights,Riverside,-117.45833,34.023056,1982-12-30,1983-09-08,,,,California,CA,listed
Westinghouse Electric Corp. (Sunnyvale Plant),CAD001864081,900956,Sunnyvale,Santa Clara,-122.0225,37.3787,1984-10-15,1986-06-10,2000-09-27,,,California,CA,cleaning
"Valley Wood Preserving, Inc.",CAD063020143,901490,Turlock,Stanislaus,-120.8239,37.4727,1988-06-24,1989-03-31,2008-08-21,,,California,CA,cleaning
"Koppers Co., Inc. (Oroville Plant)",CAD009112087,901135,Oroville,Butte,-121.5643,39.470831,1983-09-08,1984-09-21,2003-09-04,,,California,CA,cleaning
McClellan Air Force Base (Ground Water Contamination),CA4570024337,902759,Sacramento,Sacramento,-121.3994,38.66,1984-10-15,1987-07-22,,,,California,CA,listed
Atlas Asbestos Mine,CAD980496863,901736,Fresno County,Fresno,-120.5867,36.321669,1983-09-08,1984-09-21,1999-09-02,,,California,CA,cleaning
Coalinga Asbestos Mine,CAD980817217,902075,Coalinga,Fresno,-120.5283,36.31,1983-09-08,1984-09-21,1995-03-14,1997-11-19,1998-04-24,California,CA,completed
Del Norte Pesticide Storage,CAD000626176,900923,Crescent City,Del Norte,-124.2317,41.773331,1983-09-08,1984-09-21,1992-06-18,2002-08-08,2002-09-18,California,CA,completed
San Gabriel Valley (Area 1),CAD980677355,901951,El Monte,Los Angeles,-118,34.125,1983-09-08,1984-05-08,,,,California,CA,listed
San Gabriel Valley (Area 2),CAD980818512,902092,Baldwin Park Area,Los Angeles,-117.9361,34.073611,1983-09-08,1984-05-08,,,,California,CA,listed
San Gabriel Valley (Area 3),CAD980818579,902093,Alhambra,Los Angeles,-118.125,34.1,1983-09-08,1984-05-08,,,,California,CA,listed
San Gabriel Valley (Area 4),CAD980817985,902091,La Puente,Los Angeles,-117.9583,34.016669,1983-09-08,1984-05-08,,,,California,CA,listed
South Bay Asbestos Area,CAD980894885,902250,Alviso,Santa Clara,-121.9811,37.429861,1984-10-15,1986-06-10,1998-09-23,,,California,CA,cleaning
"Operating Industries, Inc., Landfill",CAT080012024,902673,Monterey Park,Los Angeles,-118.105556,34.033333,1984-10-15,1986-06-10,2012-09-11,,,California,CA,cleaning
San Fernando Valley (Area 1),CAD980894893,902251,Los Angeles,Los Angeles,-118.3514,34.19,1984-10-15,1986-06-10,,,,California,CA,listed
San Fernando Valley (Area 2),CAD980894901,902252,"Glendale, Los Angeles",Los Angeles,-118.286,34.163139,1984-10-15,1986-06-10,,,,California,CA,listed
San Fernando Valley (Area 3),CAD980894984,902254,Glendale,Los Angeles,-118.4135,34.2276,1984-10-15,1986-06-10,2004-05-20,2004-08-10,2004-10-12,California,CA,completed
San Fernando Valley (Area 4),CAD980894976,902253,Los Angeles,Los Angeles,-118.2539,34.112081,1984-10-15,1986-06-10,,,,California,CA,listed
Montrose Chemical Corp.,CAD008242711,900993,Torrance,Los Angeles,-118.2983,33.848331,1984-10-15,1989-10-04,,,,California,CA,listed
Sharpe Army Depot,CA8210020832,902792,Lathrop,San Joaquin,-121.2672,37.829169,1984-10-15,1987-07-22,2003-06-27,,,California,CA,cleaning
Norton Air Force Base,CA4570024345,902760,San Bernardino,San Bernardino,-117.2372,34.098061,1984-10-15,1987-07-22,2006-05-16,,,California,CA,cleaning
Castle Air Force Base (6 Areas),CA3570024551,902751,Merced,Merced,-120.5636,37.367361,1984-10-15,1987-07-22,2006-09-21,,,California,CA,cleaning
Mather Air Force Base,CA8570024143,902793,Sacramento,Sacramento,-121.2972,38.55695,1984-10-15,1987-07-22,2009-09-29,,,California,CA,cleaning
Lawrence Livermore Laboratory (USDOE),CA2890012584,902740,Livermore,Alameda,-121.7047,37.688061,1984-10-15,1987-07-22,2007-08-10,,,California,CA,cleaning
Firestone Tire & Rubber Co. (Salinas Plant),CAD990793887,902617,Salinas,Monterey,-121.5901,36.6249,1984-10-15,1987-07-22,1991-12-24,2005-02-14,2005-04-21,California,CA,completed
Beckman Instruments (Porterville Plant),CAD048645444,901391,Porterville,Tulare,-119.0201,36.049,1984-10-15,1986-06-10,1993-09-21,2021-09-14,2022-03-22,California,CA,completed
Louisiana-Pacific Corp.,CAD065021594,901513,Oroville,Butte,-121.5703,39.4743,1984-10-15,1986-06-10,1995-10-01,1996-08-27,1996-11-21,California,CA,completed
T.H. Agriculture & Nutrition Co.,CAD009106220,901128,Fresno,Fresno,-119.660501,36.764728,1984-10-15,1986-06-10,2004-06-24,2006-07-11,2006-08-21,California,CA,completed
"Advanced Micro Devices, Inc.",CAD048634059,901389,Sunnyvale,Santa Clara,-122.0086,37.3825,1984-10-15,1986-06-10,1993-09-17,,,California,CA,cleaning
Applied Materials,CAD042728840,901344,Santa Clara,Santa Clara,-121.9777,37.3777,1984-10-15,1987-07-22,1993-09-27,,,California,CA,cleaning
Intel Magnetics,CAD092212497,901661,Santa Clara,Santa Clara,-121.9801,37.3756,1984-10-15,1986-06-10,1992-08-19,,,California,CA,cleaning
Intel Corp. (Santa Clara III),CAT000612184,902632,Santa Clara,Santa Clara,-121.9717,37.3737,1984-10-15,1986-06-10,1992-08-18,2019-07-31,2019-09-24,California,CA,completed
Monolithic Memories,CAD049236201,901398,Sunnyvale,Santa Clara,-121.9968,37.3816,1984-10-15,1987-07-22,1994-08-22,,,California,CA,cleaning
National Semiconductor Corp.,CAD041472986,901326,Santa Clara,Santa Clara,-121.9989,37.375281,1984-10-15,1987-07-22,1997-10-16,,,California,CA,cleaning
Stauffer Chemical Co (Tampa),FLD004092532,400537,Tampa,Hillsborough,-82.370556,27.963056,1996-06-17,1996-12-23,2000-09-26,,,Florida,FL,cleaning
Tyndall Air Force Base,FL1570024124,401205,Panama City,Bay,-85.586667,30.0875,1996-06-17,1997-04-01,,,,Florida,FL,listed
Florida Petroleum Reprocessors,FLD984184127,406469,Fort Lauderdale,Broward,-80.215556,26.081944,1997-04-01,1998-03-06,2013-09-05,,,Florida,FL,cleaning
Solitron Microwave,FLD045459526,400642,Port Salerno,Martin,-80.199167,27.136667,1998-03-06,1998-07-28,2004-08-06,,,Florida,FL,cleaning
"Trans Circuits, Inc.",FLD091471904,400785,Lake Park,Palm Beach,-80.073889,26.795278,1999-10-22,2000-02-04,2013-09-25,,,Florida,FL,cleaning
Landia Chemical Company,FLD042110841,400627,Lakeland,Polk,-81.979167,28.039444,2000-02-04,2000-05-11,,,,Florida,FL,listed
Alaric Area Ground Water Plume,FLD012978862,405001,Tampa,Hillsborough,-82.375139,27.964083,2000-02-04,2000-12-01,2003-09-30,,,Florida,FL,cleaning
Callaway & Son Drum Service,FLD094590916,400792,Lake Alfred,Polk,-81.714722,28.098056,2000-02-04,2000-05-11,2007-12-21,2009-06-05,2009-08-04,Florida,FL,completed
"Southern Solvents, Inc.",FL0001209840,406539,Tampa,Hillsborough,-82.510278,28.040556,2000-05-11,2000-07-27,,,,Florida,FL,listed
"United Metals, Inc.",FLD098924038,400804,Marianna,Jackson,-85.168056,30.685833,2002-09-05,2003-04-30,2011-09-14,,,Florida,FL,cleaning
"City Industries, Inc.",FLD055945653,400683,Orlando,Orange,-81.3,28.601389,1988-06-24,1989-10-04,1994-03-02,,,Florida,FL,cleaning
Flash Cleaners,FLD083111005,407492,Pompano Beach,Broward,-80.0969,26.2824,2008-03-19,2008-09-03,2011-09-19,,,Florida,FL,cleaning
Arkla Terra Property,FLSFN0406909,406909,Thonotosassa,Hillsborough,-82.3175,28.057778,2008-09-03,2009-04-09,2020-12-18,,,Florida,FL,cleaning
Raleigh Street Dump,FLD984227249,405795,Tampa,Hillsborough,-82.410861,27.914417,2008-09-03,2009-04-09,2014-08-12,,,Florida,FL,cleaning
General Dynamics Longwood,FLR000091322,410013,Longwood,Seminole,-81.32122,28.71662,2009-04-09,2010-09-29,,,,Florida,FL,listed
JJ Seifert Machine,FLN000410232,410232,Ruskin,Hillsborough,-82.477778,27.678611,2009-09-23,2010-03-04,2016-06-14,,,Florida,FL,cleaning
Kerr-McGee Chemical Corp - Jacksonville,FLD039049101,400614,Jacksonville,Duval,-81.6265,30.3442,2009-09-23,2010-03-04,,,,Florida,FL,listed
Sanford Dry Cleaners,FLD032728032,410335,Sanford,Seminole,-81.265606,28.811217,2010-03-04,2010-09-29,2015-05-20,,,Florida,FL,cleaning
Continental Cleaners,FLD982130098,410384,Miami,Miami-Dade,-80.210178,25.831842,2011-09-16,2012-03-15,,,,Florida,FL,listed
Fairfax St. Wood Treaters,FLD000623041,410582,Jacksonville,Duval,-81.686394,30.354092,2012-03-15,2012-09-18,2020-04-01,2020-06-16,2020-08-18,Florida,FL,completed
Post and Lumber Preserving Co. Inc.,FLD004061925,400518,Quincy,Gadsden,-84.510081,30.592472,2016-09-09,2017-08-03,,,,Florida,FL,listed
PCB Wastes,FMD980637987,903062,Palikir,Pohnpei,151.783722,7.416667,1982-12-30,1983-09-08,1986-03-07,1985-12-31,1986-03-07,Federated States of Micronesia,undefined,completed
Hercules 009 Landfill,GAD980556906,401699,Brunswick,Glynn,-81.4858,31.2049,1983-09-08,1984-09-21,1999-09-24,,,Georgia,GA,cleaning
Monsanto Corp. (Augusta Plant),GAD001700699,401299,Augusta,Richmond,-81.993061,33.38945,1983-09-08,1984-09-21,1993-05-05,1997-10-06,1998-03-09,Georgia,GA,completed
Powersville Site,GAD980496954,401668,Peach County,Peach,-83.794439,32.6125,1983-09-08,1984-09-21,1993-06-30,2010-08-31,2010-11-01,Georgia,GA,completed
Robins Air Force Base (Landfill #4/Sludge Lagoon),GA1570024330,401869,Houston County,Houston,-83.582075,32.619983,1984-10-15,1987-07-22,2004-09-30,,,Georgia,GA,cleaning
"Woolfolk Chemical Works, Inc.",GAD003269578,401315,Fort Valley,Peach,-83.884161,32.549581,1988-06-24,1990-08-30,,,,Georgia,GA,listed
"Luminous Processes, Inc.",GAD990855819,401841,Athens,Clarke,-83.47195,33.940281,1981-10-23,,1982-12-30,,1982-12-30,Georgia,GA,completed
Mathis Brothers Landfill (South Marble Top Road),GAD980838619,401732,Kensington,Walker,-85.377781,34.797781,1987-01-22,1989-03-31,1998-09-28,,,Georgia,GA,cleaning
