name,id,semsId,state,city,county,status,lng,lat,dateProposed,dateListed,dateCompleted,dateNOID,dateDeleted,hasPartialDeletion
Iron King Mine - Humboldt Smelter,AZ0000309013,905049,Arizona,Dewey-Humboldt,Yavapai,NPL Site,-112.25,34.5,3/19/2008,9/3/2008,,,,TRUE
Lukachukai Mountains Mining District,NNN000920223,920223,Arizona,"Cove, Navajo Nation",Apache,NPL Site,-109.21772,36.558335,3/29/2023,3/7/2024,,,,TRUE
Aerojet General Corp.,CAD980358832,901718,California,Rancho Cordova,Sacramento,NPL Site,-121.2,38.608331,12/30/1982,9/8/1983,,,,TRUE
Celtor Chemical Works,CAD980638860,901938,California,Hoopa,Humboldt,Deleted NPL Site,-123.6911,41.1027,12/30/1982,9/8/1983,9/29/1989,8/18/2003,9/30/2003,TRUE
Coast Wood Preserving,CAD063015887,901489,California,Ukiah,Mendocino,NPL Site,-123.193,39.1125,12/30/1982,9/8/1983,8/6/2020,,,TRUE
Iron Mountain Mine,CAD980498612,901755,California,Redding,Shasta,NPL Site,-122.5278,40.671669,12/30/1982,9/8/1983,,,,TRUE
Jibboom Junkyard,CAD980737613,902040,California,Sacramento,Sacramento,Deleted NPL Site,-121.5033,38.591669,12/30/1982,9/8/1983,3/31/1988,5/24/1989,9/10/1991,TRUE
Liquid Gold Oil Corp.,CAT000646208,902660,California,Richmond,Contra Costa,Deleted NPL Site,-122.325,37.908333,12/30/1982,9/8/1983,9/27/1995,4/12/1996,9/11/1996,TRUE
McColl,CAD980498695,901757,California,Fullerton,Orange,NPL Site,-117.9712,33.8953,12/30/1982,9/8/1983,6/30/1998,7/30/1998,,TRUE
MGM Brakes,CAD000074120,900899,California,Cloverdale,Sonoma,Deleted NPL Site,-123.0109,38.784,12/30/1982,9/8/1983,9/9/1994,6/18/2019,9/16/2019,TRUE
"Purity Oil Sales, Inc.",CAD980736151,902019,California,Malaga,Fresno,NPL Site,-119.7467,36.6874,12/30/1982,9/8/1983,9/28/2012,,,TRUE
Selma Treating Co.,CAD029452141,901290,California,Selma,Fresno,NPL Site,-119.6017,36.556669,12/30/1982,9/8/1983,1/26/2005,,,TRUE
Stringfellow,CAT080012826,902680,California,Glen Avon Heights,Riverside,NPL Site,-117.45833,34.023056,12/30/1982,9/8/1983,,,,TRUE
Westinghouse Electric Corp. (Sunnyvale Plant),CAD001864081,900956,California,Sunnyvale,Santa Clara,NPL Site,-122.0225,37.3787,10/15/1984,6/10/1986,9/27/2000,,,TRUE
"Valley Wood Preserving, Inc.",CAD063020143,901490,California,Turlock,Stanislaus,NPL Site,-120.8239,37.4727,6/24/1988,3/31/1989,8/21/2008,,,TRUE
"Koppers Co., Inc. (Oroville Plant)",CAD009112087,901135,California,Oroville,Butte,NPL Site,-121.5643,39.470831,9/8/1983,9/21/1984,9/4/2003,,,TRUE
McClellan Air Force Base (Ground Water Contamination),CA4570024337,902759,California,Sacramento,Sacramento,NPL Site,-121.3994,38.66,10/15/1984,7/22/1987,,,,TRUE
Atlas Asbestos Mine,CAD980496863,901736,California,Fresno County,Fresno,NPL Site,-120.5867,36.321669,9/8/1983,9/21/1984,9/2/1999,,,TRUE
Coalinga Asbestos Mine,CAD980817217,902075,California,Coalinga,Fresno,Deleted NPL Site,-120.5283,36.31,9/8/1983,9/21/1984,3/14/1995,11/19/1997,4/24/1998,TRUE
Del Norte Pesticide Storage,CAD000626176,900923,California,Crescent City,Del Norte,Deleted NPL Site,-124.2317,41.773331,9/8/1983,9/21/1984,6/18/1992,8/8/2002,9/18/2002,TRUE
San Gabriel Valley (Area 1),CAD980677355,901951,California,El Monte,Los Angeles,NPL Site,-118,34.125,9/8/1983,5/8/1984,,,,TRUE
San Gabriel Valley (Area 2),CAD980818512,902092,California,Baldwin Park Area,Los Angeles,NPL Site,-117.9361,34.073611,9/8/1983,5/8/1984,,,,TRUE
San Gabriel Valley (Area 3),CAD980818579,902093,California,Alhambra,Los Angeles,NPL Site,-118.125,34.1,9/8/1983,5/8/1984,,,,TRUE
San Gabriel Valley (Area 4),CAD980817985,902091,California,La Puente,Los Angeles,NPL Site,-117.9583,34.016669,9/8/1983,5/8/1984,,,,TRUE
South Bay Asbestos Area,CAD980894885,902250,California,Alviso,Santa Clara,NPL Site,-121.9811,37.429861,10/15/1984,6/10/1986,9/23/1998,,,TRUE
"Operating Industries, Inc., Landfill",CAT080012024,902673,California,Monterey Park,Los Angeles,NPL Site,-118.105556,34.033333,10/15/1984,6/10/1986,9/11/2012,,,TRUE
San Fernando Valley (Area 1),CAD980894893,902251,California,Los Angeles,Los Angeles,NPL Site,-118.3514,34.19,10/15/1984,6/10/1986,,,,TRUE
San Fernando Valley (Area 2),CAD980894901,902252,California,"Glendale, Los Angeles",Los Angeles,NPL Site,-118.286,34.163139,10/15/1984,6/10/1986,,,,TRUE
San Fernando Valley (Area 3),CAD980894984,902254,California,Glendale,Los Angeles,Deleted NPL Site,-118.4135,34.2276,10/15/1984,6/10/1986,5/20/2004,8/10/2004,10/12/2004,TRUE
San Fernando Valley (Area 4),CAD980894976,902253,California,Los Angeles,Los Angeles,NPL Site,-118.2539,34.112081,10/15/1984,6/10/1986,,,,TRUE
Montrose Chemical Corp.,CAD008242711,900993,California,Torrance,Los Angeles,NPL Site,-118.2983,33.848331,10/15/1984,10/4/1989,,,,TRUE
Sharpe Army Depot,CA8210020832,902792,California,Lathrop,San Joaquin,NPL Site,-121.2672,37.829169,10/15/1984,7/22/1987,6/27/2003,,,TRUE
Norton Air Force Base,CA4570024345,902760,California,San Bernardino,San Bernardino,NPL Site,-117.2372,34.098061,10/15/1984,7/22/1987,5/16/2006,,,TRUE
Castle Air Force Base (6 Areas),CA3570024551,902751,California,Merced,Merced,NPL Site,-120.5636,37.367361,10/15/1984,7/22/1987,9/21/2006,,,TRUE
Mather Air Force Base,CA8570024143,902793,California,Sacramento,Sacramento,NPL Site,-121.2972,38.55695,10/15/1984,7/22/1987,9/29/2009,,,TRUE
Lawrence Livermore Laboratory (USDOE),CA2890012584,902740,California,Livermore,Alameda,NPL Site,-121.7047,37.688061,10/15/1984,7/22/1987,8/10/2007,,,TRUE
Firestone Tire & Rubber Co. (Salinas Plant),CAD990793887,902617,California,Salinas,Monterey,Deleted NPL Site,-121.5901,36.6249,10/15/1984,7/22/1987,12/24/1991,2/14/2005,4/21/2005,TRUE
Beckman Instruments (Porterville Plant),CAD048645444,901391,California,Porterville,Tulare,Deleted NPL Site,-119.0201,36.049,10/15/1984,6/10/1986,9/21/1993,9/14/2021,3/22/2022,TRUE
Louisiana-Pacific Corp.,CAD065021594,901513,California,Oroville,Butte,Deleted NPL Site,-121.5703,39.4743,10/15/1984,6/10/1986,10/1/1995,8/27/1996,11/21/1996,TRUE
T.H. Agriculture & Nutrition Co.,CAD009106220,901128,California,Fresno,Fresno,Deleted NPL Site,-119.660501,36.764728,10/15/1984,6/10/1986,6/24/2004,7/11/2006,8/21/2006,TRUE
"Advanced Micro Devices, Inc.",CAD048634059,901389,California,Sunnyvale,Santa Clara,NPL Site,-122.0086,37.3825,10/15/1984,6/10/1986,9/17/1993,,,TRUE
Applied Materials,CAD042728840,901344,California,Santa Clara,Santa Clara,NPL Site,-121.9777,37.3777,10/15/1984,7/22/1987,9/27/1993,,,TRUE
Intel Magnetics,CAD092212497,901661,California,Santa Clara,Santa Clara,NPL Site,-121.9801,37.3756,10/15/1984,6/10/1986,8/19/1992,,,TRUE
Intel Corp. (Santa Clara III),CAT000612184,902632,California,Santa Clara,Santa Clara,Deleted NPL Site,-121.9717,37.3737,10/15/1984,6/10/1986,8/18/1992,7/31/2019,9/24/2019,TRUE
Monolithic Memories,CAD049236201,901398,California,Sunnyvale,Santa Clara,NPL Site,-121.9968,37.3816,10/15/1984,7/22/1987,8/22/1994,,,TRUE
National Semiconductor Corp.,CAD041472986,901326,California,Santa Clara,Santa Clara,NPL Site,-121.9989,37.375281,10/15/1984,7/22/1987,10/16/1997,,,TRUE
Stauffer Chemical Co (Tampa),FLD004092532,400537,Florida,Tampa,Hillsborough,NPL Site,-82.370556,27.963056,6/17/1996,12/23/1996,9/26/2000,,,TRUE
Tyndall Air Force Base,FL1570024124,401205,Florida,Panama City,Bay,NPL Site,-85.586667,30.0875,6/17/1996,4/1/1997,,,,TRUE
Florida Petroleum Reprocessors,FLD984184127,406469,Florida,Fort Lauderdale,Broward,NPL Site,-80.215556,26.081944,4/1/1997,3/6/1998,9/5/2013,,,TRUE
Solitron Microwave,FLD045459526,400642,Florida,Port Salerno,Martin,NPL Site,-80.199167,27.136667,3/6/1998,7/28/1998,8/6/2004,,,TRUE
"Trans Circuits, Inc.",FLD091471904,400785,Florida,Lake Park,Palm Beach,NPL Site,-80.073889,26.795278,10/22/1999,2/4/2000,9/25/2013,,,TRUE
Landia Chemical Company,FLD042110841,400627,Florida,Lakeland,Polk,NPL Site,-81.979167,28.039444,2/4/2000,5/11/2000,,,,TRUE
Alaric Area Ground Water Plume,FLD012978862,405001,Florida,Tampa,Hillsborough,NPL Site,-82.375139,27.964083,2/4/2000,12/1/2000,9/30/2003,,,TRUE
Callaway & Son Drum Service,FLD094590916,400792,Florida,Lake Alfred,Polk,Deleted NPL Site,-81.714722,28.098056,2/4/2000,5/11/2000,12/21/2007,6/5/2009,8/4/2009,TRUE
"Southern Solvents, Inc.",FL0001209840,406539,Florida,Tampa,Hillsborough,NPL Site,-82.510278,28.040556,5/11/2000,7/27/2000,,,,TRUE
"United Metals, Inc.",FLD098924038,400804,Florida,Marianna,Jackson,NPL Site,-85.168056,30.685833,9/5/2002,4/30/2003,9/14/2011,,,TRUE
"City Industries, Inc.",FLD055945653,400683,Florida,Orlando,Orange,NPL Site,-81.3,28.601389,6/24/1988,10/4/1989,3/2/1994,,,TRUE
Flash Cleaners,FLD083111005,407492,Florida,Pompano Beach,Broward,NPL Site,-80.0969,26.2824,3/19/2008,9/3/2008,9/19/2011,,,TRUE
Arkla Terra Property,FLSFN0406909,406909,Florida,Thonotosassa,Hillsborough,NPL Site,-82.3175,28.057778,9/3/2008,4/9/2009,12/18/2020,,,TRUE
Raleigh Street Dump,FLD984227249,405795,Florida,Tampa,Hillsborough,NPL Site,-82.410861,27.914417,9/3/2008,4/9/2009,8/12/2014,,,TRUE
General Dynamics Longwood,FLR000091322,410013,Florida,Longwood,Seminole,NPL Site,-81.32122,28.71662,4/9/2009,9/29/2010,,,,TRUE
JJ Seifert Machine,FLN000410232,410232,Florida,Ruskin,Hillsborough,NPL Site,-82.477778,27.678611,9/23/2009,3/4/2010,6/14/2016,,,TRUE
Kerr-McGee Chemical Corp - Jacksonville,FLD039049101,400614,Florida,Jacksonville,Duval,NPL Site,-81.6265,30.3442,9/23/2009,3/4/2010,,,,TRUE
Sanford Dry Cleaners,FLD032728032,410335,Florida,Sanford,Seminole,NPL Site,-81.265606,28.811217,3/4/2010,9/29/2010,5/20/2015,,,TRUE
Continental Cleaners,FLD982130098,410384,Florida,Miami,Miami-Dade,NPL Site,-80.210178,25.831842,9/16/2011,3/15/2012,,,,TRUE
Fairfax St. Wood Treaters,FLD000623041,410582,Florida,Jacksonville,Duval,Deleted NPL Site,-81.686394,30.354092,3/15/2012,9/18/2012,4/1/2020,6/16/2020,8/18/2020,TRUE
Post and Lumber Preserving Co. Inc.,FLD004061925,400518,Florida,Quincy,Gadsden,NPL Site,-84.510081,30.592472,9/9/2016,8/3/2017,,,,TRUE
PCB Wastes,FMD980637987,903062,Federated States of Micronesia,Palikir,Pohnpei,Deleted NPL Site,151.783722,7.416667,12/30/1982,9/8/1983,3/7/1986,12/31/1985,3/7/1986,TRUE
Hercules 009 Landfill,GAD980556906,401699,Georgia,Brunswick,Glynn,NPL Site,-81.4858,31.2049,9/8/1983,9/21/1984,9/24/1999,,,TRUE
Monsanto Corp. (Augusta Plant),GAD001700699,401299,Georgia,Augusta,Richmond,Deleted NPL Site,-81.993061,33.38945,9/8/1983,9/21/1984,5/5/1993,10/6/1997,3/9/1998,TRUE
Powersville Site,GAD980496954,401668,Georgia,Peach County,Peach,Deleted NPL Site,-83.794439,32.6125,9/8/1983,9/21/1984,6/30/1993,8/31/2010,11/1/2010,TRUE
Robins Air Force Base (Landfill #4/Sludge Lagoon),GA1570024330,401869,Georgia,Houston County,Houston,NPL Site,-83.582075,32.619983,10/15/1984,7/22/1987,9/30/2004,,,TRUE
"Woolfolk Chemical Works, Inc.",GAD003269578,401315,Georgia,Fort Valley,Peach,NPL Site,-83.884161,32.549581,6/24/1988,8/30/1990,,,,TRUE
"Luminous Processes, Inc.",GAD990855819,401841,Georgia,Athens,Clarke,Deleted NPL Site,-83.47195,33.940281,10/23/1981,,12/30/1982,,12/30/1982,TRUE
Mathis Brothers Landfill (South Marble Top Road),GAD980838619,401732,Georgia,Kensington,Walker,NPL Site,-85.377781,34.797781,1/22/1987,3/31/1989,9/28/1998,,,TRUE
Diamond Shamrock Corp. Landfill,GAD990741092,401838,Georgia,Cedartown,Polk,NPL Site,-85.2717,34.0207,1/22/1987,8/30/1990,9/29/1995,,,TRUE
Cedartown Municipal Landfill,GAD980495402,401660,Georgia,Cedartown,Polk,Deleted NPL Site,-85.282639,34.015969,6/24/1988,3/31/1989,8/16/1996,11/23/1998,3/10/1999,TRUE
"Cedartown Industries, Inc.",GAD095840674,401627,Georgia,Cedartown,Polk,Deleted NPL Site,-85.2636,34.0082,6/24/1988,2/21/1990,5/8/1997,5/26/2006,9/19/2006,TRUE
T.H. Agriculture & Nutrition Co. (Albany Plant),GAD042101261,401428,Georgia,Albany,Dougherty,NPL Site,-84.181661,31.617361,6/24/1988,3/31/1989,,,,TRUE
Marzone Inc./Chevron Chemical Co.,GAD991275686,401854,Georgia,Tifton,Tift,NPL Site,-83.5017,31.4289,6/24/1988,10/4/1989,,,,TRUE
Firestone Tire & Rubber Co. (Albany Plant),GAD990855074,401840,Georgia,Albany,Dougherty,NPL Site,-84.053889,31.565831,6/24/1988,10/4/1989,9/28/1998,,,TRUE
Marine Corps Logistics Base,GA7170023694,401879,Georgia,Albany,Dougherty,NPL Site,-84.055,31.557219,7/14/1989,11/21/1989,9/28/2011,,,TRUE
LCP Chemicals Georgia,GAD099303182,401634,Georgia,Brunswick,Glynn,NPL Site,-81.508333,31.189444,10/2/1995,6/17/1996,,,,TRUE
Brunswick Wood Preserving,GAD981024466,405622,Georgia,Brunswick,Glynn,NPL Site,-81.528056,31.242222,12/23/1996,4/1/1997,9/27/2012,,,TRUE
Terry Creek Dredge Spoil Areas/Hercules Outfall,GAD982112658,404439,Georgia,Brunswick,Glynn,Proposed NPL Site,-81.466667,31.166111,4/1/1997,,,,,TRUE
Camilla Wood Preserving Company,GAD008212409,401395,Georgia,Camilla,Mitchell,NPL Site,-84.20333,31.2225,3/6/1998,7/28/1998,12/15/2014,,,TRUE
Peach Orchard Road PCE Ground Water Plume,GAN000407449,407449,Georgia,Augusta,Richmond,NPL Site,-82.015139,33.421178,4/27/2005,9/14/2005,9/18/2013,,,TRUE
Alternate Energy Resources,GAD033582461,401411,Georgia,Augusta,Richmond,NPL Site,-82.036944,33.454194,9/14/2005,4/19/2006,9/23/2015,,,TRUE
Armstrong World Industries,GAN000410033,410033,Georgia,Macon,Bibb,NPL Site,-83.6516,32.773497,10/21/2010,9/16/2011,,,,TRUE
Macon Naval Ordnance Plant,GAD003302676,405304,Georgia,Macon,Bibb,NPL Site,-83.639675,32.777658,3/15/2012,5/24/2013,,,,TRUE
Westside Lead,GAN000407160,407160,Georgia,Atlanta,Fulton,NPL Site,-84.407278,33.766472,9/9/2021,3/16/2022,,,,TRUE
Ordot Landfill,GUD980637649,902814,Guam,Ordot,Guam,NPL Site,144.7474,13.439169,12/30/1982,9/8/1983,9/9/1992,,,TRUE
Andersen Air Force Base,GU6571999519,902825,Guam,Yigo,Guam,NPL Site,144.897361,13.572916,2/7/1992,10/14/1992,,,,TRUE
Schofield Barracks (USARMY),HI7210090026,902923,Hawaii,Oahu,Honolulu,Deleted NPL Site,-158.030139,21.490694,7/14/1989,8/30/1990,9/23/1998,5/22/2000,8/10/2000,TRUE
Pearl Harbor Naval Complex,HI4170090076,904481,Hawaii,Pearl Harbor,Honolulu,NPL Site,-157.983333,21.388889,7/29/1991,10/14/1992,,,,TRUE
Del Monte Corp. (Oahu Plantation),HID980637631,902876,Hawaii,Honolulu County,Honolulu,NPL Site,-158.066667,21.458333,5/10/1993,12/16/1994,9/8/2008,,,TRUE
Naval Computer and Telecommunications Area Master Station Eastern Pacific,HI0170090054,902904,Hawaii,Oahu,Honolulu,NPL Site,-158.005138,21.519027,1/18/1994,5/31/1994,,,,TRUE
Aidex Corp.,IAD042581256,700155,Iowa,Council Bluffs,Mills,Deleted NPL Site,-95.813331,41.143331,12/30/1982,9/8/1983,6/30/1992,8/12/1993,10/21/1993,TRUE
Des Moines TCE,IAD980687933,700316,Iowa,Des Moines,Polk,NPL Site,-93.636,41.5781,12/30/1982,9/8/1983,9/21/1998,,,TRUE
LaBounty Site,IAD980631063,700286,Iowa,Charles City,Floyd,Deleted NPL Site,-92.6696,43.058,12/30/1982,9/8/1983,12/30/1988,8/10/1993,10/6/1993,TRUE
Midwest Manufacturing/North Farm,IAD069625655,700185,Iowa,Kellogg,Jasper,NPL Site,-92.893061,41.746811,9/18/1985,6/10/1986,2/18/1997,,,TRUE
Vogel Paint & Wax Co.,IAD980630487,700237,Iowa,Orange City,Sioux,NPL Site,-96.193339,42.934439,10/15/1984,6/10/1986,8/19/1994,,,TRUE
Lawrence Todtz Farm,IAD000606038,700039,Iowa,Camanche,Clinton,NPL Site,-90.292639,41.787781,9/18/1985,6/10/1986,9/11/1991,,,TRUE
Shaw Avenue Dump,IAD980630560,700244,Iowa,Charles City,Floyd,NPL Site,-92.6631,43.0563,9/18/1985,7/22/1987,3/30/2001,,,TRUE
John Deere (Ottumwa Works Landfills),IAD005291182,700110,Iowa,Ottumwa,Wapello,Deleted NPL Site,-92.409719,41.0025,6/24/1988,2/21/1990,8/28/1992,11/22/2000,1/22/2001,TRUE
Red Oak City Landfill,IAD980632509,700297,Iowa,Red Oak,Montgomery,Deleted NPL Site,-95.249111,41.036444,6/10/1986,3/31/1989,6/21/2001,7/26/2005,9/26/2005,TRUE
Northwestern States Portland Cement Co.,IAD980852461,700324,Iowa,Mason City,Cerro Gordo,Deleted NPL Site,-93.205,43.175,6/24/1988,8/30/1990,12/23/1993,10/19/1994,8/31/1995,TRUE
Mid-America Tanning Co.,IAD085824688,700204,Iowa,Sergeant Bluff,Woodbury,Deleted NPL Site,-96.352219,42.3375,6/24/1988,3/31/1989,9/12/2000,7/26/2004,9/24/2004,TRUE
White Farm Equipment Co. Dump,IAD065210734,700181,Iowa,Charles City,Floyd,Deleted NPL Site,-92.680781,43.085,6/24/1988,8/30/1990,9/8/1995,9/7/2000,10/30/2000,TRUE
Farmers' Mutual Cooperative,IAD022193577,700137,Iowa,Hospers,Sioux,Deleted NPL Site,-95.905,43.074169,6/24/1988,8/30/1990,8/12/1998,9/11/2001,11/13/2001,TRUE
"Electro-Coatings, Inc.",IAD005279039,700094,Iowa,Cedar Rapids,Linn,Deleted NPL Site,-91.671389,41.9953,6/24/1988,10/4/1989,9/14/2000,7/11/2019,9/12/2019,TRUE
"E.I. du Pont de Nemours & Co., Inc. (County Road X23)",IAD980685804,700312,Iowa,West Point,Lee,Deleted NPL Site,-91.434719,40.655831,6/24/1988,8/30/1990,9/29/1993,8/30/1994,9/25/1995,TRUE
Fairfield Coal Gasification Plant,IAD981124167,700347,Iowa,Fairfield,Jefferson,NPL Site,-91.9724,41.0062,6/24/1988,8/30/1990,8/24/1995,,,TRUE
Peoples Natural Gas Co.,IAD980852578,700325,Iowa,Dubuque,Dubuque,NPL Site,-90.658889,42.505281,6/24/1988,8/30/1990,9/28/2000,,,TRUE
Iowa Army Ammunition Plant,IA7213820445,700413,Iowa,Middletown,Des Moines,NPL Site,-91.246669,40.808331,7/14/1989,8/30/1990,,,,TRUE
Sheller-Globe Corp. Disposal,IAD980630750,700260,Iowa,Keokuk,Lee,Deleted NPL Site,-91.4139,40.4666,5/5/1989,8/30/1990,9/15/2000,7/25/2001,9/24/2001,TRUE
Waterloo Coal Gasification Plant,IAD984566356,700034,Iowa,Waterloo,Black Hawk,Proposed NPL Site,-92.326389,42.491389,10/14/1992,,,,,TRUE
Mason City Coal Gasification Plant,IAD980969190,700337,Iowa,Mason City,Cerro Gordo,NPL Site,-93.1992,43.1476,1/18/1994,12/16/1994,4/28/2008,,,TRUE
Railroad Avenue Groundwater Contamination,IA0001610963,703065,Iowa,Des Moines,Polk,NPL Site,-93.702222,41.578333,9/13/2001,9/5/2002,8/17/2007,,,TRUE
PCE Former Dry Cleaner,IAD039954300,700145,Iowa,Atlantic,Cass,NPL Site,-94.995764,41.403717,9/30/2015,4/7/2016,9/21/2021,,,TRUE
Highway 3 PCE,IAN000706042,706042,Iowa,Le Mars,Plymouth,NPL Site,-96.166464,42.79305,3/18/2022,9/9/2022,,,,TRUE
Lot 46 Valley Gardens TCE,IAN000705485,705485,Iowa,Des Moines,Polk,NPL Site,-93.650283,41.566594,9/7/2023,3/7/2024,,,,TRUE
Arrcom (Drexler Enterprises),IDD000800961,1000174,Idaho,Rathdrum,Kootenai,Deleted NPL Site,-116.9458,47.7847,12/30/1982,9/8/1983,6/30/1992,10/2/1992,12/23/1992,TRUE
Bunker Hill Mining & Metallurgical Complex,IDD048340921,1000195,Idaho,Smelterville,Shoshone,NPL Site,-116.1617,47.543061,12/30/1982,9/8/1983,,,,TRUE
Eastern Michaud Flats Contamination,IDD984666610,1001308,Idaho,Pocatello,"Bannock, Power",NPL Site,-112.5225,42.901111,5/5/1989,8/30/1990,,,,TRUE
Pacific Hide & Fur Recycling Co.,IDD098812878,1000219,Idaho,Pocatello,Bannock,Deleted NPL Site,-112.486,42.8957,9/8/1983,9/21/1984,9/29/1997,8/31/1999,11/4/1999,TRUE
Union Pacific Railroad Co.,IDD055030852,1000201,Idaho,Pocatello,Bannock,Deleted NPL Site,-112.4876,42.8954,9/8/1983,9/21/1984,9/19/1996,7/25/1997,9/22/1997,TRUE
Idaho National Engineering Laboratory (USDOE),ID4890008952,1000305,Idaho,Idaho Falls,"Bingham, Bonneville, Butte, Clark, Jefferson",NPL Site,-112.9435,43.529389,7/14/1989,11/21/1989,,,,TRUE
Mountain Home Air Force Base,ID3572124557,1000302,Idaho,Mountain Home,Elmore,NPL Site,-115.8647,43.04805,7/14/1989,8/30/1990,9/30/1998,,,TRUE
Monsanto Chemical Co. (Soda Springs Plant),IDD081830994,1000213,Idaho,Soda Springs,Caribou,NPL Site,-111.5878,42.687031,5/5/1989,8/30/1990,9/20/2000,,,TRUE
Kerr-McGee Chemical Corp. (Soda Springs Plant),IDD041310707,1000190,Idaho,Soda Springs,Caribou,NPL Site,-111.5736,42.687219,5/5/1989,10/4/1989,9/26/2001,,,TRUE
Blackbird Mine,IDD980725832,1000256,Idaho,Lemhi County,Lemhi,Proposed NPL Site,-114.26444,45.116389,5/10/1993,,,,,TRUE
St. Maries Creosote,IDSFN1002095,1002095,Idaho,St. Maries,Benewah,Proposed NPL Site,-116.575,47.321389,12/1/2000,,,,,TRUE
Stibnite/Yellow Pine Mining Area,IDD980665459,1000236,Idaho,Yellow Pine,Valley,Proposed NPL Site,-115.345278,44.8925,9/13/2001,,,,,TRUE
"A & F Materials Reclaiming, Inc.",ILD980397079,500534,Illinois,Greenup,Cumberland,Deleted NPL Site,-88.174,39.2439,12/30/1982,9/8/1983,9/24/1992,4/12/2012,6/11/2012,TRUE
"Acme Solvents Reclaiming, Inc. (Morristown Plant)",ILD053219259,500357,Illinois,Morristown,Winnebago,NPL Site,-89.0455,42.1577,12/30/1982,9/8/1983,7/13/1998,,,TRUE
Belvidere Municipal Landfill,ILD980497663,500542,Illinois,Belvidere,Boone,Deleted NPL Site,-88.8723,42.2643,12/30/1982,9/8/1983,6/10/1992,12/11/2014,2/9/2015,TRUE
Byron Salvage Yard,ILD010236230,500261,Illinois,Byron,Ogle,NPL Site,-89.295831,42.081669,12/30/1982,9/8/1983,9/16/2003,,,TRUE
Cross Brothers Pail Recycling (Pembroke),ILD980792303,500754,Illinois,Pembroke Township,Kankakee,NPL Site,-87.5893,41.0909,12/30/1982,9/8/1983,6/7/1996,,,TRUE
Galesburg/Koppers Co.,ILD990817991,501154,Illinois,Galesburg,Knox,NPL Site,-90.395839,40.895831,12/30/1982,9/8/1983,9/28/2001,,,TRUE
Johns-Manville Corp.,ILD005443544,500197,Illinois,Waukegan,Lake,NPL Site,-87.811669,42.386669,12/30/1982,9/8/1983,12/31/1991,,,TRUE
LaSalle Electric Utilities,ILD980794333,500755,Illinois,La Salle,La Salle,NPL Site,-89.0975,41.354169,12/30/1982,9/8/1983,2/28/1994,,,TRUE
Outboard Marine Corp.,ILD000802827,500083,Illinois,Waukegan,Lake,NPL Site,-87.821111,42.365281,12/30/1982,9/8/1983,9/30/2015,,,TRUE
Velsicol Chemical Corp. (Marshall Plant),ILD000814673,500092,Illinois,Marshall,Clark,NPL Site,-87.699169,39.410831,12/30/1982,9/8/1983,9/30/1994,,,TRUE
Wauconda Sand & Gravel,ILD047019732,500332,Illinois,Wauconda,Lake,NPL Site,-88.1375,42.281389,12/30/1982,9/8/1983,8/22/1996,,,TRUE
Kerr-McGee (Kress Creek/West Branch of DuPage River),ILD980823991,500760,Illinois,DuPage County,Du Page,NPL Site,-88.2093,41.863611,10/15/1984,2/11/1991,11/6/2012,,,TRUE
Cherokee County,KSD980741862,700667,Kansas,Cherokee County,Cherokee,NPL Site,-94.823889,37.003889,12/30/1982,9/8/1983,,,,TRUE
Big River Sand Co.,KSD980686174,700663,Kansas,Wichita,Sedgwick,Deleted NPL Site,-97.400831,37.726111,10/15/1984,6/10/1986,6/28/1988,7/9/1992,10/14/1992,TRUE
Strother Field Industrial Park,KSD980862726,700677,Kansas,Cowley County,Cowley,NPL Site,-97.031939,37.170831,10/15/1984,6/10/1986,10/28/2008,,,TRUE
Obee Road,KSD980631766,700580,Kansas,Hutchinson,Reno,NPL Site,-97.851389,38.063889,1/22/1987,7/22/1987,9/9/2011,,,TRUE
29th & Mead Ground Water Contamination,KSD007241656,700496,Kansas,Wichita,Sedgwick,Deleted NPL Site,-97.3266,37.7336,6/24/1988,2/21/1990,,1/31/1996,4/29/1996,TRUE
Hydro-Flex Inc.,KSD007135429,700468,Kansas,Topeka,Shawnee,Deleted NPL Site,-95.726111,39.086939,6/24/1988,3/31/1989,6/30/1992,4/8/1993,11/9/1993,TRUE
Pester Refinery Co.,KSD000829846,700447,Kansas,El Dorado,Butler,NPL Site,-96.8574,37.8438,6/24/1988,3/31/1989,9/8/1999,,,TRUE
Fort Riley,KS6214020756,700743,Kansas,Junction City,"Geary, Riley",NPL Site,-96.75,39.166669,7/14/1989,8/30/1990,,,,TRUE
57th and North Broadway Streets Site,KSD981710247,700694,Kansas,Wichita Heights,Sedgwick,NPL Site,-97.316667,37.775,2/7/1992,10/14/1992,9/10/2002,,,TRUE
"Chemical Commodities, Inc.",KSD031349624,700513,Kansas,Olathe,Johnson,NPL Site,-94.805556,38.878194,1/18/1994,5/31/1994,1/11/2012,,,TRUE
Ace Services,KSD046746731,700521,Kansas,Colby,Thomas,NPL Site,-101.039167,39.396944,2/13/1995,9/29/1995,9/22/2003,,,TRUE
Wright Ground Water Contamination,KSD984985929,702403,Kansas,Wright,Ford,NPL Site,-99.888889,37.780556,10/2/1995,6/17/1996,7/30/2008,,,TRUE
Tri-County Public Airport,KS0001402320,703044,Kansas,Delavan,Morris,Proposed NPL Site,-96.811583,38.696122,7/27/2000,,,,,TRUE
